,id,total_bill,tip,sex,smoker,day,time,size
109,110,14.31,4.0,Female,Yes,Sat,Dinner,2
110,111,14.0,3.0,Male,No,Sat,Dinner,2
111,112,7.25,1.0,Female,No,Sat,Dinner,1
112,113,38.07,4.0,Male,No,Sun,Dinner,3
113,114,23.95,2.55,Male,No,Sun,Dinner,2
114,115,25.71,4.0,Female,No,Sun,Dinner,3
115,116,17.31,3.5,Female,No,Sun,Dinner,2
116,117,29.93,5.07,Male,No,Sun,Dinner,4
117,118,10.65,1.5,Female,No,Thur,Lunch,2
118,119,12.43,1.8,Female,No,Thur,Lunch,2
119,120,24.08,2.92,Female,No,Thur,Lunch,4
120,121,11.69,2.31,Male,No,Thur,Lunch,2
121,122,13.42,1.68,Female,No,Thur,Lunch,2
122,123,14.26,2.5,Male,No,Thur,Lunch,2
123,124,15.95,2.0,Male,No,Thur,Lunch,2
124,125,12.48,2.52,Female,No,Thur,Lunch,2
125,126,29.8,4.2,Female,No,Thur,Lunch,6
126,127,8.52,1.48,Male,No,Thur,Lunch,2
127,128,14.52,2.0,Female,No,Thur,Lunch,2
128,129,11.38,2.0,Female,No,Thur,Lunch,2
129,130,22.82,2.18,Male,No,Thur,Lunch,3
130,131,19.08,1.5,Male,No,Thur,Lunch,2
131,132,20.27,2.83,Female,No,Thur,Lunch,2
132,133,11.17,1.5,Female,No,Thur,Lunch,2
133,134,12.26,2.0,Female,No,Thur,Lunch,2
134,135,18.26,3.25,Female,No,Thur,Lunch,2
135,136,8.51,1.25,Female,No,Thur,Lunch,2
136,137,10.33,2.0,Female,No,Thur,Lunch,2
137,138,14.15,2.0,Female,No,Thur,Lunch,2
138,139,16.0,2.0,Male,Yes,Thur,Lunch,2
139,140,13.16,2.75,Female,No,Thur,Lunch,2
140,141,17.47,3.5,Female,No,Thur,Lunch,2
141,142,34.3,6.7,Male,No,Thur,Lunch,6
142,143,41.19,5.0,Male,No,Thur,Lunch,5
143,144,27.05,5.0,Female,No,Thur,Lunch,6
144,145,16.43,2.3,Female,No,Thur,Lunch,2
145,146,8.35,1.5,Female,No,Thur,Lunch,2
146,147,18.64,1.36,Female,No,Thur,Lunch,3
147,148,11.87,1.63,Female,No,Thur,Lunch,2
148,149,9.78,1.73,Male,No,Thur,Lunch,2
149,150,7.51,2.0,Male,No,Thur,Lunch,2
150,151,14.07,2.5,Male,No,Sun,Dinner,2
151,152,13.13,2.0,Male,No,Sun,Dinner,2
152,153,17.26,2.74,Male,No,Sun,Dinner,3
153,154,24.55,2.0,Male,No,Sun,Dinner,4
154,155,19.77,2.0,Male,No,Sun,Dinner,4
155,156,29.85,5.14,Female,No,Sun,Dinner,5
156,157,48.17,5.0,Male,No,Sun,Dinner,6
157,158,25.0,3.75,Female,No,Sun,Dinner,4
158,159,13.39,2.61,Female,No,Sun,Dinner,2
159,160,16.49,2.0,Male,No,Sun,Dinner,4
160,161,21.5,3.5,Male,No,Sun,Dinner,4
161,162,12.66,2.5,Male,No,Sun,Dinner,2
162,163,16.21,2.0,Female,No,Sun,Dinner,3
163,164,13.81,2.0,Male,No,Sun,Dinner,2
164,165,17.51,3.0,Female,Yes,Sun,Dinner,2
165,166,24.52,3.48,Male,No,Sun,Dinner,3
166,167,20.76,2.24,Male,No,Sun,Dinner,2
167,168,31.71,4.5,Male,No,Sun,Dinner,4
168,169,10.59,1.61,Female,Yes,Sat,Dinner,2
169,170,10.63,2.0,Female,Yes,Sat,Dinner,2
170,171,50.81,10.0,Male,Yes,Sat,Dinner,3
171,172,15.81,3.16,Male,Yes,Sat,Dinner,2
172,173,7.25,5.15,Male,Yes,Sun,Dinner,2
173,174,31.85,3.18,Male,Yes,Sun,Dinner,2
174,175,16.82,4.0,Male,Yes,Sun,Dinner,2
175,176,32.9,3.11,Male,Yes,Sun,Dinner,2
176,177,17.89,2.0,Male,Yes,Sun,Dinner,2
177,178,14.48,2.0,Male,Yes,Sun,Dinner,2
178,179,9.6,4.0,Female,Yes,Sun,Dinner,2
179,180,34.63,3.55,Male,Yes,Sun,Dinner,2
180,181,34.65,3.68,Male,Yes,Sun,Dinner,4
181,182,23.33,5.65,Male,Yes,Sun,Dinner,2
182,183,45.35,3.5,Male,Yes,Sun,Dinner,3
183,184,23.17,6.5,Male,Yes,Sun,Dinner,4
184,185,40.55,3.0,Male,Yes,Sun,Dinner,2
185,186,20.69,5.0,Male,No,Sun,Dinner,5
186,187,20.9,3.5,Female,Yes,Sun,Dinner,3
187,188,30.46,2.0,Male,Yes,Sun,Dinner,5
188,189,18.15,3.5,Female,Yes,Sun,Dinner,3
189,190,23.1,4.0,Male,Yes,Sun,Dinner,3
190,191,15.69,1.5,Male,Yes,Sun,Dinner,2
191,192,19.81,4.19,Female,Yes,Thur,Lunch,2
192,193,28.44,2.56,Male,Yes,Thur,Lunch,2
193,194,15.48,2.02,Male,Yes,Thur,Lunch,2
194,195,16.58,4.0,Male,Yes,Thur,Lunch,2
195,196,7.56,1.44,Male,No,Thur,Lunch,2
196,197,10.34,2.0,Male,Yes,Thur,Lunch,2
197,198,43.11,5.0,Female,Yes,Thur,Lunch,4
198,199,13.0,2.0,Female,Yes,Thur,Lunch,2
199,200,13.51,2.0,Male,Yes,Thur,Lunch,2
200,201,18.71,4.0,Male,Yes,Thur,Lunch,3
201,202,12.74,2.01,Female,Yes,Thur,Lunch,2
202,203,13.0,2.0,Female,Yes,Thur,Lunch,2
203,204,16.4,2.5,Female,Yes,Thur,Lunch,2
204,205,20.53,4.0,Male,Yes,Thur,Lunch,4
205,206,16.47,3.23,Female,Yes,Thur,Lunch,3
206,207,26.59,3.41,Male,Yes,Sat,Dinner,3
207,208,38.73,3.0,Male,Yes,Sat,Dinner,4
208,209,24.27,2.03,Male,Yes,Sat,Dinner,2
209,210,12.76,2.23,Female,Yes,Sat,Dinner,2
210,211,30.06,2.0,Male,Yes,Sat,Dinner,3
211,212,25.89,5.16,Male,Yes,Sat,Dinner,4
212,213,48.33,9.0,Male,No,Sat,Dinner,4
213,214,13.27,2.5,Female,Yes,Sat,Dinner,2
214,215,28.17,6.5,Female,Yes,Sat,Dinner,3
215,216,12.9,1.1,Female,Yes,Sat,Dinner,2
216,217,28.15,3.0,Male,Yes,Sat,Dinner,5
217,218,11.59,1.5,Male,Yes,Sat,Dinner,2
218,219,7.74,1.44,Male,Yes,Sat,Dinner,2
219,220,30.14,3.09,Female,Yes,Sat,Dinner,4
220,221,12.16,2.2,Male,Yes,Fri,Lunch,2
221,222,13.42,3.48,Female,Yes,Fri,Lunch,2
222,223,8.58,1.92,Male,Yes,Fri,Lunch,1
223,224,15.98,3.0,Female,No,Fri,Lunch,3
224,225,13.42,1.58,Male,Yes,Fri,Lunch,2
225,226,16.27,2.5,Female,Yes,Fri,Lunch,2
226,227,10.09,2.0,Female,Yes,Fri,Lunch,2
227,228,20.45,3.0,Male,No,Sat,Dinner,4
228,229,13.28,2.72,Male,No,Sat,Dinner,2
229,230,22.12,2.88,Female,Yes,Sat,Dinner,2
230,231,24.01,2.0,Male,Yes,Sat,Dinner,4
231,232,15.69,3.0,Male,Yes,Sat,Dinner,3
232,233,11.61,3.39,Male,No,Sat,Dinner,2
233,234,10.77,1.47,Male,No,Sat,Dinner,2
234,235,15.53,3.0,Male,Yes,Sat,Dinner,2
235,236,10.07,1.25,Male,No,Sat,Dinner,2
236,237,12.6,1.0,Male,Yes,Sat,Dinner,2
237,238,32.83,1.17,Male,Yes,Sat,Dinner,2
238,239,35.83,4.67,Female,No,Sat,Dinner,3
239,240,29.03,5.92,Male,No,Sat,Dinner,3
240,241,27.18,2.0,Female,Yes,Sat,Dinner,2
241,242,22.67,2.0,Male,Yes,Sat,Dinner,2
242,243,17.82,1.75,Male,No,Sat,Dinner,2
243,244,18.78,3.0,Female,No,Thur,Dinner,2
